Tweet ID,Tweet created date,Tweet,Retweet count,Tweet source,User ID,User location,User follower,User name,Friends count,Status count,Language,Tweeted date
8.42E+17,Thu Mar 16 14:35:38 +0000 2017,RT @sunchets: #TheRealtiy__OfQuran         #  https://t.co/oYYDbuVpb2 https://t.co/zB7B6829j7 #motog5...,0,Twitter for Android,8.29E+17,Bhind (M.P) India,None,rajudas303110,488,1771,en,16-03-2017
8.42E+17,Thu Mar 16 14:35:51 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.29E+17,Dirba,None,KarmjeetBabla,18,109,en,16-03-2017
8.42E+17,Thu Mar 16 14:36:05 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,81322306,Mumbai,None,saurabhbudhia,207,11,en,16-03-2017
8.42E+17,Thu Mar 16 14:36:12 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,2994849902,india,None,rajunagveesam,2757,7234,en,16-03-2017
8.42E+17,Thu Mar 16 14:36:12 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,2252399462,Sambalpur,None,aloknath1749,292,964,en,16-03-2017
8.42E+17,Thu Mar 16 14:40:02 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.22E+17,New Delhi  India,None,gwkuu,47,413,en,16-03-2017
8.42E+17,Thu Mar 16 14:41:43 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for iPhone,946630621,Mumbai,None,IIShivendra,428,4100,en,16-03-2017
8.42E+17,Thu Mar 16 14:41:44 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.98E+17,Rajkot  India,None,SukantaKarmaka,5001,14478,en,16-03-2017
8.42E+17,Thu Mar 16 14:42:39 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.50E+17,jhaloor ,None,Darshan58741692,17,18127,en,16-03-2017
8.42E+17,Thu Mar 16 14:43:23 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,4480576400,the world ,None,chithu319,49,106,en,16-03-2017
8.42E+17,Thu Mar 16 14:45:00 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Mobile Web (M5),8.00E+17,ranchi  india,None,Ananyavikram3,84,17,en,16-03-2017
8.42E+17,Thu Mar 16 14:45:17 +0000 2017,@Flipkart #motog5plus Such a disappoint that moto g1st gen is not listed under exchange..,0,Mobile Web (M5),34537182,Mumbai India,None,dayasagar,25,33,en,16-03-2017
8.42E+17,Thu Mar 16 14:46:16 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.39E+17,Rohini  New Delhi,None,Asnatkumar,25,3,en,16-03-2017
8.42E+17,Thu Mar 16 14:47:06 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,169536417,KATNI  M.P.,None,akhil_lovee,99,4283,en,16-03-2017
8.42E+17,Thu Mar 16 14:47:15 +0000 2017,#motog5plus #FelizJueves #BoycottHawaii #themasksinger #ThursdayThoughts Hii guys  Good evening  What s going on ?,0,Twitter for Android,804590330,jaunpur  uttar Pradesh  India,None,gauravs34084203,1405,5054,en,16-03-2017
8.42E+17,Thu Mar 16 14:47:22 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.38E+17,Pramod Rishi,None,Pramod53972274,81,14,en,16-03-2017
8.42E+17,Thu Mar 16 14:47:24 +0000 2017,Check out this item in my Etsy shop https://t.co/pPAp8N5JMY #pencils #emojis #Baahubali2trailer #greenleaf #Huaweip10 #MotoG5Plus,0,Twitter for Android,1390948933,Bridgeport  CT  USA,None,Loorducation,43,11907,en,16-03-2017
8.42E+17,Thu Mar 16 14:48:04 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.42E+17,U P Banki,None,Amansin24313083,43,16,en,16-03-2017
8.42E+17,Thu Mar 16 14:49:12 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,1734127974,Patiala India,None,AkshayCIA,334,11844,en,16-03-2017
8.42E+17,Thu Mar 16 14:49:23 +0000 2017,RT @advaith11yo: who is the best #young bollywood actor #RanbirKapoor #RanveerSingh #varundhawan #SidharthMalhotra #Baahubali2trailer #hond...,0,Twitter for Android,3165277512,Lost In VarShraLia,None,Kajol_dvn,278,39293,en,16-03-2017
8.42E+17,Thu Mar 16 14:50:12 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,480411624,Ratlam  India,None,naveen1588,89,136,en,16-03-2017
8.42E+17,Thu Mar 16 14:50:25 +0000 2017,RT @Moto_IND: #uncompromise on a precision-crafted metal design with the new #motog5plus. Buy from @Flipkart  starting Rs 14 999!... ,0,Twitter for Android,3660055578,Chennai  India,None,WatsonNaveen,2279,57537,en,16-03-2017
8.42E+17,Thu Mar 16 14:50:42 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.42E+17,Jharkhand,None,sandip9302,21,3,en,16-03-2017
8.42E+17,Thu Mar 16 14:50:48 +0000 2017,RT @advaith11yo: who is the best #young bollywood actor #RanbirKapoor #RanveerSingh #varundhawan #SidharthMalhotra #Baahubali2trailer #hond...,0,Twitter for Android,4022089098,in varshalias heart,None,smile_varun,113,6855,en,16-03-2017
8.42E+17,Thu Mar 16 14:51:09 +0000 2017,plz listen https://t.co/j5iCHiCLnS  FLW PLZ @SuhilaBnLachhab https://t.co/fpDdZNJ7WA #SouhilaBenLachhab #PrayForPeru #MotoG5Plus,0,Twitter for Android,7.44E+17,1 2 3 Viva l Algerie ,None,Fofa_SBL,58,38902,fr,16-03-2017
8.42E+17,Thu Mar 16 14:51:35 +0000 2017,#motog5plus whats going on guys ??,0,Twitter for Android,804590330,jaunpur  uttar Pradesh  India,None,gauravs34084203,1405,5056,en,16-03-2017
8.42E+17,Thu Mar 16 14:52:31 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.29E+17,Tamilnadu India,None,RanjitBoopathi,170,32,en,16-03-2017
8.42E+17,Thu Mar 16 14:52:38 +0000 2017,BJP might reshuffle the union cabinet after April 12th. More details https://t.co/Eaj52AJB2Q @manoharparrikar @narendramodi #BJP #MotoG5Plus,0,Twitter for Android,2575041702,Bangalore & Mumbai,None,IndiaCityBlog,170,641,en,16-03-2017
8.42E+17,Thu Mar 16 14:53:11 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.23E+17,Shahdol,None,mdraza930372320,135,73,en,16-03-2017
8.42E+17,Thu Mar 16 14:53:37 +0000 2017,Ha ha #remo #Baahubali2trailer #MotoG5Plus #YouTubeChallenge https://t.co/6BtL4zG4fp,0,Twitter for Android,8.34E+17,Chennai,None,memesmafia,38,66,en,16-03-2017
8.42E+17,Thu Mar 16 14:53:48 +0000 2017,RT @Flipkart: Most of you guessed it right! Are you guys geared up to win the #MotoG5Plus and some more exciting prizes? RT this and we wil...,0,Twitter for Android,339519334,mumbai,None,sahil_waikar,746,1499,en,16-03-2017
8.42E+17,Thu Mar 16 14:53:55 +0000 2017,#motog5plus latest smartphone : Motorola: https://t.co/9Qg8ynflpL,0,Twitter for Android,3191557092,New Delhi  India,None,whoami_vikky,149,2362,en,16-03-2017
8.42E+17,Thu Mar 16 14:54:01 +0000 2017,RT @Flipkart: Most of you guessed it right! Are you guys geared up to win the #MotoG5Plus and some more exciting prizes? RT this and we wil...,0,Twitter for Android,339519334,mumbai,None,sahil_waikar,746,1499,en,16-03-2017
8.42E+17,Thu Mar 16 14:54:17 +0000 2017,#motog5plus check out latest smartphone : Motorola: https://t.co/9Qg8ynflpL,0,Twitter for Android,3191557092,New Delhi  India,None,whoami_vikky,149,2363,en,16-03-2017
8.42E+17,Thu Mar 16 14:54:19 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.97E+17,Guwahati  India,None,JVocklin,352,1070,en,16-03-2017
8.42E+17,Thu Mar 16 14:54:28 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.41E+17,Dharapuram,None,karthirajendren,46,2,en,16-03-2017
8.42E+17,Thu Mar 16 14:54:46 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.33E+17,Varanasi  India,None,ManojDu92040297,6,178,en,16-03-2017
8.42E+17,Thu Mar 16 14:55:24 +0000 2017,#motog5plus #FelizJueves #BoycottHawaii #themasksinger Hii guys  Good evening  What s going on ?,0,Twitter for Android,804590330,jaunpur  uttar Pradesh  India,None,gauravs34084203,1405,5062,en,16-03-2017
8.42E+17,Thu Mar 16 14:56:37 +0000 2017,Follow  https://t.co/B4R3u5cjAv Follow  https://t.co/HufRqinDTL follow  https://t.co/P4MChkiN07 #MotoG5Plus,0,Twitter for Android,7.41E+17,  ,None,ipcJ38MOVyUWJTl,98,18336,ar,16-03-2017
8.42E+17,Thu Mar 16 14:57:17 +0000 2017,RT @advaith11yo: who is the best #young bollywood actor #RanbirKapoor #RanveerSingh #varundhawan #SidharthMalhotra #Baahubali2trailer #hond...,0,Twitter for Android,7.50E+17,In varun s heart,None,VarunKiPrincess,60,3773,en,16-03-2017
8.42E+17,Thu Mar 16 14:58:02 +0000 2017,#MotoG5Plus  OH MY GOD  LEAKED VIDEO https://t.co/t3tSp3ulcK,0,Twitter Web Client,50580886,Ludhiana  Punjab,None,arvindrajoo,38,641,en,16-03-2017
8.42E+17,Thu Mar 16 14:58:38 +0000 2017,Check out this item in my Etsy shop https://t.co/JocPFdkciy #greenleaf #BeautyAndTheBeast #Grasse #GoodNewsIn5Words #IndvAus #MotoG5Plus,0,Twitter for Android,7.73E+17,Denver  CO,None,MDP303,4976,1567,en,16-03-2017
8.42E+17,Thu Mar 16 15:00:33 +0000 2017,#MotoG5Plus from Rs.14999 + 10% Off with SBI Cards + Exchange up to Rs.15000 + No Cost EMI https://t.co/sEvWIWPjbR... https://t.co/U3Fv2ESy0L,0,Buffer,4834300185,India,None,SmartGizmoDeals,2,15197,en,16-03-2017
8.42E+17,Thu Mar 16 15:01:06 +0000 2017,https://t.co/kh35SwzIJM    what s new for you...?  #motog5plus  #happyrich  #Trapped17march https://t.co/8osaXX3Gpb,0,Twitter Web Client,2783492024,Patna,None,rajeshblogging,1961,302,en,16-03-2017
8.42E+17,Thu Mar 16 15:01:36 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,2536997588,kaithal haryana,None,kldipsingh,59,223,en,16-03-2017
8.42E+17,Thu Mar 16 15:02:21 +0000 2017,RT @Loorducation: Check out this item in my Etsy shop https://t.co/pPAp8N5JMY #pencils #emojis #Baahubali2trailer #greenleaf #Huaweip10 #Mo...,0,Twitter for Android,1390948933,Bridgeport  CT  USA,None,Loorducation,43,11932,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:06 +0000 2017,RT @advaith11yo: who is the best #young bollywood actor #RanbirKapoor #RanveerSingh #varundhawan #SidharthMalhotra #Baahubali2trailer #hond...,0,Twitter for Android,7.90E+17,In varun & alia s heart,None,Varia084,29,1259,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:13 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.21E+17,Kupwara  Jammu And Kashmir,None,ItxPeer,722,105,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:16 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.39E+17, India,None,MundSudhir,9,259,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:19 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.35E+17,Nagpur  India,None,1Dluvrsince2012,19,215,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:36 +0000 2017,RT @Moto_IND: #uncompromise on a precision-crafted metal design with the new #motog5plus. Buy from @Flipkart  starting Rs 14 999!... ,0,Twitter for Android,1638326022,nearby,None,Mario_Dias13,4212,69385,en,16-03-2017
8.42E+17,Thu Mar 16 15:03:38 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.09E+17,raipur  India,None,shubhammotwani4,155,205,en,16-03-2017
8.42E+17,Thu Mar 16 15:04:12 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.39E+17,Coimbatore  India,None,vickymee707,240,35,en,16-03-2017
8.42E+17,Thu Mar 16 15:05:06 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,817885430,Jind  India,None,parveensolankhi,153,81,en,16-03-2017
8.42E+17,Thu Mar 16 15:05:08 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,235612879,Ponda - Goa  India,None,suhailshaikh55,209,533,en,16-03-2017
8.42E+17,Thu Mar 16 15:05:14 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.71E+17,Abohar  India,None,SumanIn10344343,175,6631,en,16-03-2017
8.42E+17,Thu Mar 16 15:08:34 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,182912590,India,None,gmaxfun,192,1595,en,16-03-2017
8.42E+17,Thu Mar 16 15:08:44 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,1285119361,Himachal 2 Punjab  India,None,SstarNation,1086,28589,en,16-03-2017
8.42E+17,Thu Mar 16 15:08:58 +0000 2017,RT @Moto_IND: The new #motog5plus has arrived! Grab the amazing launch-day offers. Only on @Flipkart  starting Rs 14 999 Buy now... ,0,Twitter for Android,2996217703,India,None,DiffErotically,10,6410,en,16-03-2017
8.42E+17,Thu Mar 16 15:09:11 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.29E+17,Patna  India,None,suryasinha525,765,1096,en,16-03-2017
