twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844930542395162625,Thu Mar 23 15:15:14 +0000 2017,  .. or it will be the most radicalised Islamic country in Europe. Privatise #BBC even before moving #Brexit bill  #LondonA...,0,,618520499,fl ,None,atlas_4fthemoon,2432,754,en,23-03-2017
844930546182557696,Thu Mar 23 15:15:14 +0000 2017,Thought Factory: Left-Right Polarisation! #Trump #USelections2016 #leadership #politics #racism #Brexit #Trump 17 ,0,,257134732,Cape Town   South Africa,None,camaripop,1819,108315,en,23-03-2017
844930551052222464,Thu Mar 23 15:15:16 +0000 2017,  #Brexit brings new challenges for #retail sector as transaction volumes decline. 21% down YOY @EstatesGazette... ,0,,2800144260,London,None,AmberRoltEG,583,588,en,23-03-2017
844930602008752128,Thu Mar 23 15:15:28 +0000 2017,Pavlos Eleftheriadis explains why Lords shouldn't have concluded UK needn't pay #Brexit bill in no deal scenario. ,0,,4806808293,London  England,None,InFactsOrg,544,4657,en-gb,23-03-2017
844930605141909506,Thu Mar 23 15:15:28 +0000 2017,1 If #Brexit IS will of people #2ndref will vindicate 2 If it ISN'T  no 2nd ref = slow-mo #UK suicide Absolutely co... ,0,,2601559130,Preston  UK,None,gas2green,129,2408,en,23-03-2017
844930607729856512,Thu Mar 23 15:15:29 +0000 2017,#UK Scientists Dropped From #EU Projects Post - #Brexit ,0,,833801705556934657,United States,None,perakoyot,4731,9932,en,23-03-2017
844930610443550720,Thu Mar 23 15:15:30 +0000 2017,Marketers must lead change to flourish in a mid &amp; post #Brexit economy. Find out more in our 2017 challenges report... ,0,,199201810,Worldwide,None,CIM_Exchange,2109,20036,en,23-03-2017
844930611722752001,Thu Mar 23 15:15:30 +0000 2017,  Deutsche Bank sees a further 15% devaluation in GBPUSD and EURGBP post-Brexit via //t.co...,0,,2318979313,London  England,None,City_Livery_SM,1373,6762,en,23-03-2017
844930624372781057,Thu Mar 23 15:15:33 +0000 2017,  At present we know very little about what EU member states want from #brexit   each country will have a different p... ,0,,260165412,West Yorkshire,None,FSBwestyorks,1542,4753,en,23-03-2017
844930624431554560,Thu Mar 23 15:15:33 +0000 2017,  At present we know very little about what EU member states want from #brexit   each country will have a different p... ,0,,84300684,North East England,None,FSBnortheast,462,8806,en,23-03-2017
844930624645300224,Thu Mar 23 15:15:33 +0000 2017,She doesn't hide her racism any more. It's as if #Trump and #Brexit have made people like her feel they're views ar... ,0,,742732369497587712,Europe,None,AwayFromTheKeys,782,8780,en,23-03-2017
844930638172041216,Thu Mar 23 15:15:36 +0000 2017,At an ASA debate today  Joe Healy dismissed any suggestion of diluting growth targets for agri-food due to #Brexit ,0,,266026554,Ireland,None,IFAmedia,84,14645,en,23-03-2017
844930639111565313,Thu Mar 23 15:15:37 +0000 2017,Juncker warns #Brexit could divide #EU- so what Freedom is priceless  ,0,,119161370,USA,None,saul42,55749,378705,en,23-03-2017
844930642508951552,Thu Mar 23 15:15:37 +0000 2017,@paullewismoney WOW! This #Brexit lark is just GRATE isn't it! Whoop de do! Higher inflation and stagnant wages. Well done #Leave voters!,0,,550415486,Citizen of the world ,None,MissLauraMarcus,3887,138521,en,23-03-2017
844930643452678144,Thu Mar 23 15:15:38 +0000 2017,I guess you have to do it in London  but any chance of an event in Bristol too? ,0,,92628671,Forest of Dean,None,Kate_de,501,16763,en,23-03-2017
844930667095969794,Thu Mar 23 15:15:43 +0000 2017,#Brexit media fears nothing but utter rubbish- the proof is in the pudding  ,0,,119161370,USA,None,saul42,55749,378706,en,23-03-2017
844930668018745346,Thu Mar 23 15:15:43 +0000 2017,.@fsb_policy Head of Policy @fsbsonali notes FSBs role is to ensure our members voices are heard in #brexit negotiations #FSB2017,0,,20058335,London,None,fsb_policy,1769,22342,en,23-03-2017
844930668652085249,Thu Mar 23 15:15:44 +0000 2017,  Remember #Brexit is a process not just an event #FSB2017 Stephen Booth //t.co/q7lRlj5Bep,0,,584870335,Southampton,None,GillJeffery13,4863,37667,en,23-03-2017
844930676075855872,Thu Mar 23 15:15:45 +0000 2017,  The #WestminsterAttack will not delay the #Brexit process  //t.co/z978B0CVaI https://t.c...,0,,237985124,UrAnus,None,dystopia47,4973,68052,en,23-03-2017
844930682073874432,Thu Mar 23 15:15:47 +0000 2017,  Stephen Booth notes it's crucial that UK makes the most of trade opportunities post #brexit  #FSB2017 ...,0,,84300684,North East England,None,FSBnortheast,462,8807,en,23-03-2017
844930682044530690,Thu Mar 23 15:15:47 +0000 2017,  Stephen Booth notes it's crucial that UK makes the most of trade opportunities post #brexit  #FSB2017 ...,0,,260165412,West Yorkshire,None,FSBwestyorks,1542,4754,en,23-03-2017
844930717104701440,Thu Mar 23 15:15:55 +0000 2017,  This week @fsb_policy launched keep trade easy a report looking at what #smes want from #brexit... ,0,,584870335,Southampton,None,GillJeffery13,4863,37668,en,23-03-2017
844930741498777601,Thu Mar 23 15:16:01 +0000 2017,  Love Europe  hate EU is like saying I prefer Europe when it had trade barriers  rampant nationalism &amp; constant warfare...,0,,82621248,Harpy from Hertfordshire,None,iboogey1,189,61973,en,23-03-2017
